dataset,algorithm,params,n_clusters,ARI,time
taichi3,HDBSCAN,"{'allow_single_cluster': False, 'hdbscan_min_cluster_size': 5, 'hdbscan_min_samples': 7, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.9779324175443828,0.0587611198425293
taichi3,HDBSCAN,"{'allow_single_cluster': False, 'hdbscan_min_cluster_size': 10, 'hdbscan_min_samples': 2, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.9779324175443828,0.05610489845275879
taichi3,HDBSCAN,"{'allow_single_cluster': False, 'hdbscan_min_cluster_size': 10, 'hdbscan_min_samples': 3, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.9779324175443828,0.056546926498413086
taichi3,HDBSCAN,"{'allow_single_cluster': False, 'hdbscan_min_cluster_size': 10, 'hdbscan_min_samples': 5, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.9779324175443828,0.05593132972717285
taichi3,HDBSCAN,"{'allow_single_cluster': False, 'hdbscan_min_cluster_size': 10, 'hdbscan_min_samples': 7, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.9779324175443828,0.05592918395996094
taichi3,HDBSCAN,"{'allow_single_cluster': False, 'hdbscan_min_cluster_size': 15, 'hdbscan_min_samples': 2, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.9779324175443828,0.05438804626464844
taichi3,HDBSCAN,"{'allow_single_cluster': False, 'hdbscan_min_cluster_size': 15, 'hdbscan_min_samples': 3, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.9779324175443828,0.05507373809814453
taichi3,HDBSCAN,"{'allow_single_cluster': False, 'hdbscan_min_cluster_size': 15, 'hdbscan_min_samples': 5, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.9779324175443828,0.05398678779602051
taichi3,HDBSCAN,"{'allow_single_cluster': False, 'hdbscan_min_cluster_size': 15, 'hdbscan_min_samples': 7, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.9779324175443828,0.054749250411987305
taichi3,HDBSCAN,"{'allow_single_cluster': False, 'hdbscan_min_cluster_size': 20, 'hdbscan_min_samples': 2, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.9779324175443828,0.053128957748413086
taichi3,HDBSCAN,"{'allow_single_cluster': False, 'hdbscan_min_cluster_size': 20, 'hdbscan_min_samples': 3, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.9779324175443828,0.05747079849243164
taichi3,HDBSCAN,"{'allow_single_cluster': False, 'hdbscan_min_cluster_size': 20, 'hdbscan_min_samples': 5, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.9779324175443828,0.05860567092895508
taichi3,HDBSCAN,"{'allow_single_cluster': False, 'hdbscan_min_cluster_size': 20, 'hdbscan_min_samples': 7, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.9779324175443828,0.05931520462036133
taichi3,OPTICS,"{'min_cluster_size': 0.1, 'min_samples': 5, 'xi': 0.025, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.6284911842985776,1.3994419574737549
taichi3,OPTICS,"{'min_cluster_size': 0.1, 'min_samples': 5, 'xi': 0.05, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.9750791367899759,1.3897051811218262
taichi3,OPTICS,"{'min_cluster_size': 0.1, 'min_samples': 5, 'xi': 0.1, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.9774970705312328,1.4340519905090332
taichi3,OPTICS,"{'min_cluster_size': 0.1, 'min_samples': 7, 'xi': 0.025, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.7628778292433257,1.3718738555908203
taichi3,OPTICS,"{'min_cluster_size': 0.1, 'min_samples': 7, 'xi': 0.05, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.9774970705312328,1.372864007949829
taichi3,OPTICS,"{'min_cluster_size': 0.1, 'min_samples': 7, 'xi': 0.1, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.9774970705312328,1.3890719413757324
taichi3,OPTICS,"{'min_cluster_size': 0.1, 'min_samples': 10, 'xi': 0.025, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.6337219501006391,1.5071651935577393
taichi3,OPTICS,"{'min_cluster_size': 0.1, 'min_samples': 10, 'xi': 0.05, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.6915106145349408,1.5358262062072754
taichi3,OPTICS,"{'min_cluster_size': 0.1, 'min_samples': 10, 'xi': 0.1, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",4,0.9774970705312328,1.5747911930084229
taichi3,OPTICS,"{'min_cluster_size': 0.1, 'min_samples': 15, 'xi': 0.025, 'n_neighbors': 3, 'random_state': 42, 'modularity_neighbors': 15, 'lambda': 1}",5,0.6304252632812847,1.486253023147583
